ticker,company_name,sector,sub_sector,industry,sub_industry,sub_industry_code,index_membership,listing_date,listing_board,shares_outstanding,market_cap
AADI,Adaro Andalan Indonesia Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production,A121,"COMPOSITE, IDX30, IDX80, IDXENERGY, IDXV30, ISSI, JII, JII70, KOMPAS100, LQ45, MBX",2024-12-05,Main,7786891760,71834076486000
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, IDXNONCYC, IDXSMC-COM, IDXSMC-LIQ, Investor33, ISSI, MBX",1997-12-09,Main,1924688333,13232232289375
ABBA,Mahaka Media Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Consumer Publishing,E614,"COMPOSITE, IDXCYCLIC",2002-04-03,Watchlist,3935892857,118076785710
ABDA,Asuransi Bina Dana Arta Tbk.,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",1989-07-06,Development,620806680,2172823380000
ABMM,ABM Investama Tbk.,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,C311,"COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, MBX",2011-12-06,Main,2753165000,6910444150000
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,E743,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXCYCLIC, IDXESGL, IDXHIDIV20, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",2007-11-06,Main,17120389700,6163340292000
ACRO,Samcro Hyosung Adilestari Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,E413,"COMPOSITE, DBX, IDXCYCLIC",2024-01-11,Development,3469345537,211630077757
ACST,Acset Indonusa Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,J211,"COMPOSITE, IDXINFRA, IDXSMC-COM",2013-06-24,Watchlist,17675160000,1502388600000
ADCP,Adhi Commuter Properti Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",2021-05-21,Development,22222222200,1111111110000
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,D212,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI",1994-06-13,Watchlist,589896800,20056491200000
ADHI,Adhi Karya (Persero) Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,J211,"COMPOSITE, IDXBUMN20, IDXINFRA, IDXSMC-COM, MBX",2004-03-18,Main,8407608979,1336809827661
ADMF,Adira Dinamika Multi Finance T,Financials,Financing Service,Consumer Financing,Consumer Financing,G211,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",2004-03-31,Development,1235803109,10720591970575
